timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1586282039.4460607,296,1,-29.78515625,-44.43359375,-53.22265625,-34.1796875,0.0,0
1586282039.449967,296,1,-16.11328125,-32.2265625,-47.8515625,-20.99609375,0.0,0
1586282039.4538732,296,1,-15.625,-19.53125,-33.69140625,-11.23046875,0.0,0
1586282039.4577794,296,1,-19.04296875,-18.5546875,-37.59765625,-10.7421875,0.0,0
1586282039.4616857,296,1,-24.4140625,-32.71484375,-51.7578125,-26.3671875,0.0,0
1586282039.465592,296,1,-27.34375,-37.109375,-49.31640625,-30.76171875,0.0,0
1586282039.4694982,296,1,-22.4609375,-29.296875,-39.0625,-20.01953125,0.0,0
1586282039.4734044,296,1,-17.08984375,-26.3671875,-41.50390625,-14.6484375,0.0,0
1586282039.4773107,296,1,-17.578125,-41.015625,-37.109375,-10.7421875,0.0,0
1586282039.481217,296,1,-17.578125,-38.57421875,-2.9296875,-7.32421875,0.0,0
1586282039.4851232,296,1,-27.34375,-25.390625,-15.13671875,-17.578125,0.0,0
1586282039.4890294,296,1,-27.83203125,-6.34765625,-43.9453125,-27.34375,0.0,0
1586282039.4929357,296,1,-17.08984375,-7.32421875,-30.2734375,-18.5546875,0.0,0
1586282039.496842,296,1,-3.41796875,-23.4375,-44.43359375,-17.08984375,0.0,0
1586282039.5007482,296,1,3.41796875,-24.90234375,-47.8515625,-24.4140625,0.0,0
1586282039.5046544,296,1,-17.578125,-35.15625,-50.29296875,-38.0859375,0.0,0
1586282039.5085607,296,1,-22.4609375,-33.69140625,-47.36328125,-32.2265625,0.0,0
1586282039.512467,296,1,-13.671875,-32.2265625,-31.25,-17.578125,0.0,0
1586282039.5163732,296,1,-6.8359375,-43.9453125,-32.2265625,-17.578125,0.0,0
1586282039.5202794,296,1,-13.671875,-24.90234375,-20.5078125,-19.53125,0.0,0
1586282039.5241857,296,1,-22.4609375,-4.8828125,-27.83203125,-20.01953125,0.0,0
1586282039.528092,296,1,-20.5078125,-5.859375,-40.52734375,-24.90234375,0.0,0
1586282039.5319982,296,1,-26.3671875,-26.85546875,-49.8046875,-24.4140625,0.0,0
1586282039.5359044,296,1,-29.78515625,-41.9921875,-46.38671875,-18.5546875,0.0,0
1586282039.5398107,296,1,-21.484375,-36.62109375,-31.25,-15.625,0.0,0
1586282039.543717,296,1,-32.2265625,-26.3671875,-28.3203125,-30.76171875,0.0,0
1586282039.5476232,296,1,-34.1796875,-16.6015625,-28.3203125,-37.109375,0.0,0
1586282039.5515294,296,1,-17.578125,-27.83203125,-31.25,-27.83203125,0.0,0
1586282039.5554357,296,1,-7.32421875,-39.55078125,-33.203125,-18.5546875,0.0,0
1586282039.559342,296,1,-11.23046875,-48.828125,-20.5078125,-10.25390625,0.0,0
1586282039.5632482,296,1,-25.390625,-67.3828125,-21.484375,-26.3671875,0.0,0
1586282039.5671544,296,1,-32.71484375,-32.2265625,-48.33984375,-35.64453125,0.0,0
1586282039.5710607,296,1,-31.25,-13.671875,-29.296875,-10.7421875,0.0,0
1586282039.574967,296,1,-21.484375,-28.80859375,-7.32421875,-9.27734375,0.0,0
1586282039.5788732,296,1,-25.390625,-30.2734375,-12.6953125,-21.484375,0.0,0
1586282039.5827794,296,1,-39.55078125,-31.25,-30.76171875,-25.390625,0.0,0
1586282039.5866857,296,1,-30.76171875,-31.73828125,-42.96875,-28.80859375,0.0,0
1586282039.590592,296,1,-26.3671875,-56.640625,-33.203125,-31.25,0.0,0
1586282039.5944982,296,1,-32.2265625,-65.4296875,-31.25,-30.76171875,0.0,0
1586282039.5984044,296,1,-24.4140625,-34.1796875,-38.57421875,-22.4609375,0.0,0
