timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1586278968.383679,178,1,-32.2265625,-30.2734375,-49.31640625,-27.83203125,0.0,0
1586278968.3875852,178,1,-44.43359375,-9.27734375,-35.64453125,-41.015625,0.0,0
1586278968.3914914,178,1,-36.1328125,-17.08984375,-43.45703125,-24.90234375,0.0,0
1586278968.3953977,178,1,-33.203125,-24.90234375,-46.38671875,-15.625,0.0,0
1586278968.399304,178,1,-30.2734375,-31.25,-28.3203125,-8.7890625,0.0,0
1586278968.4032102,178,1,-23.4375,-41.9921875,-7.32421875,-17.578125,0.0,0
1586278968.4071164,178,1,-28.80859375,-39.0625,-18.5546875,-42.48046875,0.0,0
1586278968.4110227,178,1,-23.92578125,-33.69140625,-41.9921875,-34.66796875,0.0,0
1586278968.414929,178,1,-22.4609375,-27.83203125,-43.45703125,-16.11328125,0.0,0
1586278968.4188352,178,1,-25.87890625,-23.4375,-62.01171875,-17.08984375,0.0,0
1586278968.4227414,178,1,-24.4140625,-39.0625,-49.8046875,-26.3671875,0.0,0
1586278968.4266477,178,1,-26.85546875,-30.76171875,-17.578125,-26.85546875,0.0,0
1586278968.430554,178,1,-21.484375,-22.4609375,-28.3203125,-20.01953125,0.0,0
1586278968.4344602,178,1,-19.53125,-53.22265625,-39.0625,-15.13671875,0.0,0
1586278968.4383664,178,1,-25.87890625,-57.12890625,-32.2265625,-16.6015625,0.0,0
1586278968.4422727,178,1,-34.1796875,-23.4375,-37.59765625,-20.99609375,0.0,0
1586278968.446179,178,1,-29.296875,-14.16015625,-55.17578125,-26.3671875,0.0,0
1586278968.4500852,178,1,-20.99609375,-20.99609375,-44.43359375,-29.296875,0.0,0
1586278968.4539914,178,1,-19.04296875,-25.390625,-35.64453125,-19.53125,0.0,0
1586278968.4578977,178,1,-22.4609375,-25.390625,-37.59765625,-9.27734375,0.0,0
1586278968.461804,178,1,-26.3671875,-29.78515625,-34.1796875,-15.13671875,0.0,0
1586278968.4657102,178,1,-24.90234375,-33.69140625,-12.6953125,-23.4375,0.0,0
1586278968.4696164,178,1,-21.484375,-13.18359375,-7.8125,-20.5078125,0.0,0
1586278968.4735227,178,1,-18.06640625,-8.7890625,-25.87890625,-18.5546875,0.0,0
1586278968.477429,178,1,-17.578125,-33.203125,-36.62109375,-18.06640625,0.0,0
1586278968.4813352,178,1,-20.99609375,-37.59765625,-29.78515625,-16.6015625,0.0,0
1586278968.4852414,178,1,-27.34375,-51.7578125,-15.625,-24.4140625,0.0,0
1586278968.4891477,178,1,-27.34375,-62.01171875,-33.203125,-31.73828125,0.0,0
1586278968.493054,178,1,-21.97265625,-36.62109375,-74.70703125,-22.94921875,0.0,0
1586278968.4969602,178,1,-12.6953125,-30.2734375,-54.6875,-2.44140625,0.0,0
1586278968.5008664,178,1,-8.7890625,-30.76171875,-27.34375,5.37109375,0.0,0
1586278968.5047727,178,1,-17.08984375,-11.23046875,-29.78515625,0.48828125,0.0,0
1586278968.508679,178,1,-21.97265625,2.44140625,-15.625,-16.6015625,0.0,0
1586278968.5125852,178,1,-21.484375,-24.90234375,-25.87890625,-13.671875,0.0,0
1586278968.5164914,178,1,-23.4375,-47.8515625,-30.76171875,-0.9765625,0.0,0
1586278968.5203977,178,1,-24.90234375,-25.390625,-34.66796875,-2.44140625,0.0,0
1586278968.524304,178,1,-27.83203125,-13.18359375,-52.734375,-13.18359375,0.0,0
1586278968.5282102,178,1,-27.34375,-28.80859375,-51.26953125,-29.296875,0.0,0
1586278968.5321164,178,1,-27.34375,-35.15625,-42.96875,-26.85546875,0.0,0
1586278968.5360227,178,1,-23.92578125,-16.11328125,-24.4140625,-8.30078125,0.0,0
1586278968.539929,178,1,-29.78515625,-23.92578125,-13.18359375,-0.48828125,0.0,0
1586278968.5438352,178,1,-36.1328125,-20.99609375,-3.41796875,-13.18359375,0.0,0
1586278968.5477414,178,1,-35.15625,-20.5078125,-21.484375,-32.71484375,0.0,0
1586278968.5516477,178,1,-31.25,-44.43359375,-60.546875,-20.99609375,0.0,0
1586278968.555554,178,1,-28.80859375,-42.48046875,-52.24609375,0.9765625,0.0,0
1586278968.5594602,178,1,-35.64453125,-31.73828125,-15.625,-13.671875,0.0,0
1586278968.5633664,178,1,-40.52734375,-17.08984375,-25.390625,-37.109375,0.0,0
1586278968.5672727,178,1,-33.69140625,0.0,-31.25,-41.50390625,0.0,0
1586278968.571179,178,1,-26.85546875,-13.18359375,-10.25390625,-40.52734375,0.0,0
1586278968.5750852,178,1,-21.484375,-28.3203125,-29.78515625,-32.71484375,0.0,0
1586278968.5789914,178,1,-19.04296875,-6.8359375,-29.296875,-24.90234375,0.0,0
1586278968.5828977,178,1,-26.3671875,-2.9296875,-24.4140625,-23.4375,0.0,0
1586278968.586804,178,1,-28.3203125,-20.5078125,-42.48046875,-28.80859375,0.0,0
1586278968.5907102,178,1,-20.01953125,-30.76171875,-47.36328125,-26.3671875,0.0,0
1586278968.5946164,178,1,-24.4140625,-37.59765625,-34.66796875,-16.6015625,0.0,0
1586278968.5985227,178,1,-28.80859375,-43.45703125,-20.5078125,-14.16015625,0.0,0
1586278968.602429,178,1,-17.08984375,-28.80859375,-13.18359375,-4.39453125,0.0,0
1586278968.6063352,178,1,-19.53125,-17.578125,-16.6015625,-10.7421875,0.0,0
1586278968.6102414,178,1,-31.73828125,-32.71484375,-33.69140625,-22.4609375,0.0,0
1586278968.6141477,178,1,-24.4140625,-46.38671875,-40.52734375,-10.25390625,0.0,0
1586278968.618054,178,1,-15.13671875,-39.55078125,-37.59765625,-3.41796875,0.0,0
1586278968.6219602,178,1,-19.04296875,-29.78515625,-41.50390625,-7.8125,0.0,0
1586278968.6258664,178,1,-21.484375,-32.2265625,-25.87890625,-8.30078125,0.0,0
1586278968.6297727,178,1,-20.5078125,-24.4140625,-21.484375,-13.18359375,0.0,0
1586278968.633679,178,1,-16.6015625,-41.015625,-54.19921875,-19.53125,0.0,0
1586278968.6375852,178,1,-11.71875,-44.921875,-42.96875,-9.765625,0.0,0
1586278968.6414914,178,1,-20.5078125,-16.6015625,-22.4609375,-10.25390625,0.0,0
1586278968.6453977,178,1,-34.1796875,-51.26953125,-31.25,-26.3671875,0.0,0
1586278968.649304,178,1,-26.3671875,-52.24609375,-21.97265625,-16.6015625,0.0,0
1586278968.6532102,178,1,-17.08984375,-8.7890625,-18.06640625,-9.27734375,0.0,0
1586278968.6571164,178,1,-21.484375,-11.23046875,-36.62109375,0.9765625,0.0,0
1586278968.6610227,178,1,-21.97265625,-23.4375,-32.71484375,7.8125,0.0,0
1586278968.664929,178,1,-21.97265625,-32.71484375,-29.78515625,-9.765625,0.0,0
1586278968.6688352,178,1,-20.99609375,-43.9453125,-18.5546875,-18.5546875,0.0,0
1586278968.6727414,178,1,-27.34375,-36.1328125,-3.90625,-19.04296875,0.0,0
1586278968.6766477,178,1,-28.80859375,-24.4140625,-48.828125,-23.4375,0.0,0
1586278968.680554,178,1,-24.90234375,-31.25,-50.78125,-24.90234375,0.0,0
1586278968.6844602,178,1,-25.390625,-12.6953125,-23.4375,-28.80859375,0.0,0
1586278968.6883664,178,1,-22.4609375,-1.46484375,-26.85546875,-38.0859375,0.0,0
1586278968.6922727,178,1,-14.16015625,-32.2265625,-37.59765625,-28.80859375,0.0,0
1586278968.696179,178,1,-18.5546875,-32.71484375,-21.97265625,-19.53125,0.0,0
1586278968.7000852,178,1,-23.4375,-12.6953125,12.20703125,-30.76171875,0.0,0
1586278968.7039914,178,1,-30.76171875,-19.53125,-21.97265625,-37.109375,0.0,0
1586278968.7078977,178,1,-45.41015625,-41.50390625,-53.22265625,-46.38671875,0.0,0
1586278968.711804,178,1,-40.0390625,-37.59765625,-44.43359375,-41.50390625,0.0,0
1586278968.7157102,178,1,-24.4140625,-30.76171875,-35.15625,-22.4609375,0.0,0
1586278968.7196164,178,1,-17.08984375,-25.390625,-31.25,-14.6484375,0.0,0
1586278968.7235227,178,1,-20.5078125,-39.0625,-29.296875,-17.578125,0.0,0
1586278968.727429,178,1,-23.4375,-48.33984375,-32.71484375,-28.3203125,0.0,0
1586278968.7313352,178,1,-15.13671875,-22.94921875,-20.99609375,-17.08984375,0.0,0
1586278968.7352414,178,1,-16.11328125,-22.94921875,-8.30078125,0.0,0.0,0
1586278968.7391477,178,1,-22.94921875,-30.2734375,-26.3671875,-2.9296875,0.0,0
1586278968.743054,178,1,-34.66796875,-31.25,-62.01171875,-14.6484375,0.0,0
1586278968.7469602,178,1,-46.875,-34.66796875,-62.01171875,-25.390625,0.0,0
1586278968.7508664,178,1,-43.45703125,-32.2265625,-51.7578125,-26.85546875,0.0,0
1586278968.7547727,178,1,-35.64453125,-18.06640625,-26.3671875,-19.53125,0.0,0
1586278968.758679,178,1,-28.3203125,-20.99609375,-22.4609375,-9.765625,0.0,0
1586278968.7625852,178,1,-31.25,-27.83203125,-34.1796875,-21.484375,0.0,0
1586278968.7664914,178,1,-41.9921875,-42.48046875,-15.625,-51.26953125,0.0,0
1586278968.7703977,178,1,-39.55078125,-44.921875,-32.71484375,-50.29296875,0.0,0
1586278968.774304,178,1,-31.25,-30.76171875,-56.640625,-33.203125,0.0,0
1586278968.7782102,178,1,-26.85546875,-36.62109375,-54.19921875,-26.85546875,0.0,0
1586278968.7821164,178,1,-28.3203125,-47.36328125,-62.01171875,-25.87890625,0.0,0
