timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1586278829.727429,119,1,-33.69140625,-39.0625,-41.9921875,-27.83203125,0.0,0
1586278829.7313352,119,1,-32.2265625,-43.45703125,-30.76171875,-24.4140625,0.0,0
1586278829.7352414,119,1,-22.94921875,-17.08984375,-39.55078125,-15.625,0.0,0
1586278829.7391477,119,1,-15.13671875,-15.625,-13.671875,-13.18359375,0.0,0
1586278829.743054,119,1,-20.01953125,-32.2265625,15.13671875,-22.94921875,0.0,0
1586278829.7469602,119,1,-37.109375,-20.99609375,-11.23046875,-28.80859375,0.0,0
1586278829.7508664,119,1,-20.99609375,-10.25390625,-38.0859375,-23.4375,0.0,0
1586278829.7547727,119,1,-4.39453125,-16.6015625,-30.76171875,-10.7421875,0.0,0
1586278829.758679,119,1,-11.71875,-43.9453125,-30.2734375,-8.7890625,0.0,0
1586278829.7625852,119,1,-17.08984375,-38.57421875,-17.578125,-19.04296875,0.0,0
1586278829.7664914,119,1,-20.99609375,-13.671875,-13.671875,-26.85546875,0.0,0
1586278829.7703977,119,1,-20.01953125,-24.90234375,-38.57421875,-27.83203125,0.0,0
1586278829.774304,119,1,-22.4609375,-29.78515625,-42.96875,-29.296875,0.0,0
1586278829.7782102,119,1,-22.4609375,-15.13671875,-28.80859375,-16.6015625,0.0,0
1586278829.7821164,119,1,-25.390625,-21.97265625,-0.48828125,-23.92578125,0.0,0
1586278829.7860227,119,1,-27.83203125,-49.31640625,0.0,-36.1328125,0.0,0
1586278829.789929,119,1,-27.34375,-52.734375,-31.25,-29.78515625,0.0,0
1586278829.7938352,119,1,-30.2734375,-25.87890625,-53.22265625,-16.6015625,0.0,0
1586278829.7977414,119,1,-26.3671875,-15.13671875,-59.5703125,-14.6484375,0.0,0
1586278829.8016477,119,1,-17.578125,-35.64453125,-53.22265625,-29.296875,0.0,0
1586278829.805554,119,1,-21.97265625,-34.1796875,-64.453125,-32.71484375,0.0,0
1586278829.8094602,119,1,-28.3203125,-28.80859375,-22.4609375,-25.390625,0.0,0
1586278829.8133664,119,1,-22.4609375,-43.45703125,16.11328125,-12.20703125,0.0,0
1586278829.8172727,119,1,-22.4609375,-42.48046875,-35.15625,-8.30078125,0.0,0
1586278829.821179,119,1,-24.90234375,-14.6484375,-31.25,-18.06640625,0.0,0
1586278829.8250852,119,1,-33.203125,-9.765625,-4.39453125,-28.80859375,0.0,0
1586278829.8289914,119,1,-34.66796875,-34.1796875,-23.4375,-19.04296875,0.0,0
1586278829.8328977,119,1,-25.87890625,-37.109375,-37.109375,-3.41796875,0.0,0
1586278829.836804,119,1,-39.55078125,-37.109375,-26.85546875,-16.6015625,0.0,0
1586278829.8407102,119,1,-61.03515625,-46.875,-37.109375,-45.41015625,0.0,0
1586278829.8446164,119,1,-48.33984375,-55.6640625,-52.24609375,-63.4765625,0.0,0
1586278829.8485227,119,1,-45.41015625,-45.8984375,-26.85546875,-65.4296875,0.0,0
1586278829.852429,119,1,-54.6875,-36.1328125,-29.296875,-55.6640625,0.0,0
1586278829.8563352,119,1,-43.9453125,-39.0625,-33.203125,-36.62109375,0.0,0
1586278829.8602414,119,1,-49.31640625,-38.57421875,22.4609375,-36.62109375,0.0,0
1586278829.8641477,119,1,-65.4296875,-33.203125,2.44140625,-66.89453125,0.0,0
1586278829.868054,119,1,-55.6640625,-28.3203125,-41.015625,-63.4765625,0.0,0
1586278829.8719602,119,1,-51.26953125,-33.69140625,-34.66796875,-49.31640625,0.0,0
1586278829.8758664,119,1,-59.08203125,-45.41015625,-31.25,-46.875,0.0,0
1586278829.8797727,119,1,-59.08203125,-56.640625,-20.99609375,-39.55078125,0.0,0
1586278829.883679,119,1,-66.89453125,-58.10546875,-28.3203125,-55.17578125,0.0,0
1586278829.8875852,119,1,-58.59375,-49.31640625,-37.109375,-48.828125,0.0,0
1586278829.8914914,119,1,-53.22265625,-37.59765625,-27.83203125,-33.203125,0.0,0
1586278829.8953977,119,1,-51.7578125,-36.1328125,-22.94921875,-25.390625,0.0,0
1586278829.899304,119,1,-45.8984375,-36.62109375,-33.203125,-18.06640625,0.0,0
1586278829.9032102,119,1,-54.6875,-21.484375,-19.53125,-31.25,0.0,0
1586278829.9071164,119,1,-53.22265625,-19.04296875,-5.859375,-41.015625,0.0,0
1586278829.9110227,119,1,-39.55078125,-44.43359375,-21.484375,-25.390625,0.0,0
1586278829.914929,119,1,-37.59765625,-59.08203125,-51.7578125,-12.20703125,0.0,0
1586278829.9188352,119,1,-40.0390625,-30.76171875,-34.66796875,-8.30078125,0.0,0
1586278829.9227414,119,1,-32.71484375,-16.6015625,-9.765625,-10.25390625,0.0,0
1586278829.9266477,119,1,-47.36328125,-36.1328125,-27.34375,-23.92578125,0.0,0
1586278829.930554,119,1,-52.734375,-40.52734375,-23.4375,-28.3203125,0.0,0
1586278829.9344602,119,1,-28.3203125,-35.15625,-10.7421875,-15.625,0.0,0
1586278829.9383664,119,1,-24.90234375,-46.875,-54.6875,-8.7890625,0.0,0
1586278829.9422727,119,1,-29.296875,-57.12890625,-57.6171875,-18.06640625,0.0,0
1586278829.946179,119,1,-36.62109375,-44.43359375,-8.7890625,-34.66796875,0.0,0
1586278829.9500852,119,1,-40.52734375,-31.25,-23.4375,-43.45703125,0.0,0
1586278829.9539914,119,1,-34.66796875,-43.9453125,-48.828125,-34.1796875,0.0,0
1586278829.9578977,119,1,-38.57421875,-34.1796875,-38.0859375,-22.4609375,0.0,0
1586278829.961804,119,1,-36.62109375,2.44140625,1.46484375,-18.5546875,0.0,0
1586278829.9657102,119,1,-26.85546875,-9.765625,-3.41796875,-22.94921875,0.0,0
1586278829.9696164,119,1,-23.92578125,-28.3203125,-46.875,-33.69140625,0.0,0
1586278829.9735227,119,1,-26.85546875,-34.66796875,-78.125,-40.0390625,0.0,0
1586278829.977429,119,1,-16.11328125,-31.25,-79.1015625,-28.3203125,0.0,0
1586278829.9813352,119,1,-20.99609375,-15.13671875,-20.01953125,-26.85546875,0.0,0
1586278829.9852414,119,1,-35.15625,-27.34375,-5.859375,-46.875,0.0,0
1586278829.9891477,119,1,-33.203125,-34.66796875,-51.26953125,-55.17578125,0.0,0
1586278829.993054,119,1,-31.73828125,-33.69140625,-46.38671875,-32.71484375,0.0,0
1586278829.9969602,119,1,-33.203125,-27.83203125,-34.1796875,-14.6484375,0.0,0
1586278830.0008664,119,1,-47.8515625,-10.7421875,-41.9921875,-25.87890625,0.0,0
1586278830.0047727,119,1,-54.19921875,-5.859375,-41.50390625,-42.96875,0.0,0
1586278830.008679,119,1,-28.80859375,-27.34375,-61.03515625,-42.96875,0.0,0
1586278830.0125852,119,1,-18.5546875,-26.85546875,-47.36328125,-24.4140625,0.0,0
1586278830.0164914,119,1,-24.4140625,-30.76171875,-19.04296875,-19.53125,0.0,0
1586278830.0203977,119,1,-33.69140625,-43.9453125,-26.85546875,-34.66796875,0.0,0
1586278830.024304,119,1,-44.921875,-22.4609375,-31.73828125,-46.38671875,0.0,0
1586278830.0282102,119,1,-45.41015625,-31.25,-31.73828125,-47.36328125,0.0,0
1586278830.0321164,119,1,-38.0859375,-43.9453125,-33.203125,-28.80859375,0.0,0
1586278830.0360227,119,1,-36.1328125,-36.1328125,-30.2734375,-15.625,0.0,0
1586278830.039929,119,1,-39.55078125,-39.0625,-22.94921875,-19.04296875,0.0,0
1586278830.0438352,119,1,-40.0390625,-34.66796875,-28.80859375,-24.4140625,0.0,0
1586278830.0477414,119,1,-32.2265625,-16.11328125,-23.92578125,-23.92578125,0.0,0
1586278830.0516477,119,1,-16.11328125,-15.13671875,-19.04296875,-16.6015625,0.0,0
1586278830.055554,119,1,-16.11328125,-20.01953125,-35.15625,-4.8828125,0.0,0
1586278830.0594602,119,1,-38.0859375,-13.671875,-60.05859375,-12.6953125,0.0,0
1586278830.0633664,119,1,-46.875,-9.765625,-50.78125,-36.1328125,0.0,0
1586278830.0672727,119,1,-33.69140625,-23.92578125,-17.578125,-35.64453125,0.0,0
1586278830.071179,119,1,-24.4140625,-29.78515625,-16.11328125,-30.76171875,0.0,0
1586278830.0750852,119,1,-24.90234375,-40.52734375,-32.2265625,-30.76171875,0.0,0
1586278830.0789914,119,1,-24.90234375,-42.96875,-31.25,-25.87890625,0.0,0
1586278830.0828977,119,1,-24.4140625,-31.73828125,-15.13671875,-24.90234375,0.0,0
1586278830.086804,119,1,-18.5546875,-37.109375,-29.78515625,-33.203125,0.0,0
1586278830.0907102,119,1,-2.44140625,-47.36328125,-86.42578125,-23.4375,0.0,0
1586278830.0946164,119,1,-0.48828125,-29.78515625,-70.80078125,-6.34765625,0.0,0
1586278830.0985227,119,1,-9.765625,-8.30078125,-11.71875,-5.859375,0.0,0
1586278830.102429,119,1,-8.30078125,-2.44140625,-28.80859375,-13.18359375,0.0,0
1586278830.1063352,119,1,-12.6953125,-21.484375,-44.43359375,-23.92578125,0.0,0
1586278830.1102414,119,1,-17.08984375,-27.83203125,-28.80859375,-22.94921875,0.0,0
1586278830.1141477,119,1,-22.4609375,-26.85546875,-28.3203125,-12.20703125,0.0,0
1586278830.118054,119,1,-23.92578125,-47.36328125,-30.76171875,-9.765625,0.0,0
1586278830.1219602,119,1,-20.01953125,-55.6640625,-36.62109375,-15.13671875,0.0,0
1586278830.1258664,119,1,-29.78515625,-37.59765625,-48.33984375,-24.90234375,0.0,0
1586278830.1297727,119,1,-31.73828125,-36.62109375,-35.15625,-26.85546875,0.0,0
1586278830.133679,119,1,-16.6015625,-24.4140625,-22.94921875,-13.671875,0.0,0
1586278830.1375852,119,1,-10.7421875,-20.5078125,-16.6015625,-5.859375,0.0,0
1586278830.1414914,119,1,-18.5546875,-19.53125,-23.92578125,-23.92578125,0.0,0
1586278830.1453977,119,1,-33.69140625,-20.99609375,-42.48046875,-46.875,0.0,0
1586278830.149304,119,1,-35.15625,-48.828125,-47.8515625,-36.1328125,0.0,0
1586278830.1532102,119,1,-23.4375,-53.22265625,-37.59765625,-10.7421875,0.0,0
1586278830.1571164,119,1,-15.625,-34.1796875,-38.0859375,-11.71875,0.0,0
1586278830.1610227,119,1,-14.6484375,-24.90234375,-41.50390625,-23.92578125,0.0,0
1586278830.164929,119,1,-23.92578125,-26.3671875,-43.9453125,-34.1796875,0.0,0
1586278830.1688352,119,1,-20.99609375,-27.34375,-23.92578125,-27.34375,0.0,0
1586278830.1727414,119,1,-14.6484375,-34.1796875,6.34765625,-7.8125,0.0,0
1586278830.1766477,119,1,-20.01953125,-26.85546875,-4.39453125,-8.7890625,0.0,0
1586278830.180554,119,1,-24.90234375,-19.53125,-33.69140625,-12.20703125,0.0,0
1586278830.1844602,119,1,-26.85546875,-40.52734375,-52.734375,-15.13671875,0.0,0
1586278830.1883664,119,1,-16.11328125,-35.64453125,-52.24609375,-16.11328125,0.0,0
1586278830.1922727,119,1,-10.25390625,-37.109375,-54.19921875,-5.37109375,0.0,0
1586278830.196179,119,1,-9.27734375,-30.2734375,-26.3671875,-1.953125,0.0,0
1586278830.2000852,119,1,-13.18359375,-20.5078125,-8.30078125,-12.6953125,0.0,0
1586278830.2039914,119,1,-29.78515625,-38.0859375,-52.24609375,-31.25,0.0,0
1586278830.2078977,119,1,-35.15625,-32.2265625,-37.109375,-33.69140625,0.0,0
1586278830.211804,119,1,-32.71484375,-26.3671875,-23.4375,-21.97265625,0.0,0
1586278830.2157102,119,1,-30.2734375,-24.90234375,-44.921875,-2.9296875,0.0,0
1586278830.2196164,119,1,-32.2265625,-21.97265625,-53.7109375,-8.7890625,0.0,0
1586278830.2235227,119,1,-35.15625,-25.390625,-50.78125,-18.06640625,0.0,0
1586278830.227429,119,1,-38.57421875,-22.4609375,-22.4609375,-12.6953125,0.0,0
1586278830.2313352,119,1,-35.15625,-35.15625,-7.32421875,-11.23046875,0.0,0
1586278830.2352414,119,1,-26.85546875,-49.31640625,-16.6015625,-4.39453125,0.0,0
1586278830.2391477,119,1,-36.1328125,-31.25,-30.2734375,-3.41796875,0.0,0
1586278830.243054,119,1,-38.57421875,-24.4140625,-50.29296875,-10.25390625,0.0,0
1586278830.2469602,119,1,-29.296875,-27.34375,-41.9921875,-18.5546875,0.0,0
1586278830.2508664,119,1,-21.97265625,-26.3671875,-28.80859375,-12.20703125,0.0,0
1586278830.2547727,119,1,-12.20703125,-45.41015625,-36.62109375,-0.9765625,0.0,0
1586278830.258679,119,1,-12.20703125,-55.6640625,-24.4140625,-7.8125,0.0,0
1586278830.2625852,119,1,-24.4140625,-27.83203125,-32.2265625,-26.85546875,0.0,0
1586278830.2664914,119,1,-24.4140625,-9.765625,-37.59765625,-30.76171875,0.0,0
1586278830.2703977,119,1,-20.99609375,-4.8828125,-5.859375,-19.53125,0.0,0
1586278830.274304,119,1,-19.04296875,-1.953125,-18.5546875,-11.23046875,0.0,0
1586278830.2782102,119,1,-19.53125,-20.5078125,-39.0625,-4.8828125,0.0,0
1586278830.2821164,119,1,-21.97265625,-41.50390625,-25.390625,-11.71875,0.0,0
1586278830.2860227,119,1,-17.08984375,-34.66796875,-37.59765625,-24.4140625,0.0,0
1586278830.289929,119,1,-12.6953125,-20.5078125,-49.31640625,-23.92578125,0.0,0
1586278830.2938352,119,1,-13.18359375,-20.99609375,-39.0625,-21.97265625,0.0,0
1586278830.2977414,119,1,-16.11328125,-36.62109375,-30.2734375,-18.06640625,0.0,0
1586278830.3016477,119,1,-19.04296875,-41.015625,-27.83203125,-18.5546875,0.0,0
1586278830.305554,119,1,-17.578125,-28.80859375,-42.96875,-24.4140625,0.0,0
1586278830.3094602,119,1,-15.625,-34.1796875,-20.01953125,-17.08984375,0.0,0
1586278830.3133664,119,1,-22.4609375,-42.96875,-14.16015625,-12.6953125,0.0,0
1586278830.3172727,119,1,-31.25,-30.76171875,-37.59765625,-11.71875,0.0,0
1586278830.321179,119,1,-32.71484375,-30.76171875,-31.25,-21.97265625,0.0,0
1586278830.3250852,119,1,-31.73828125,-37.59765625,-40.0390625,-33.203125,0.0,0
1586278830.3289914,119,1,-32.2265625,-41.9921875,-61.5234375,-31.73828125,0.0,0
1586278830.3328977,119,1,-22.4609375,-48.828125,-54.19921875,-23.4375,0.0,0
