WORD,TERM,A,B,C,D
1,1,33.69140625,-15.625,-23.92578125,19.53125
1,1,-16.11328125,-10.7421875,-40.52734375,-15.13671875
1,1,-47.8515625,-4.8828125,-42.96875,-36.1328125
1,1,-18.06640625,-5.859375,-48.828125,-28.3203125
1,1,41.50390625,-17.08984375,-47.36328125,-2.9296875
1,1,45.8984375,-20.5078125,-36.1328125,8.7890625
1,1,-2.44140625,-14.16015625,-24.90234375,-18.06640625
1,1,-46.38671875,-22.94921875,-33.69140625,-51.7578125
1,1,-29.78515625,-26.3671875,-38.57421875,-36.1328125
1,1,32.2265625,-16.11328125,-33.69140625,-3.41796875
1,1,56.15234375,-15.625,-26.3671875,7.8125
1,1,10.7421875,-17.578125,-21.484375,-7.8125
1,1,-50.29296875,-17.08984375,-24.90234375,-50.29296875
1,1,-46.875,-4.8828125,-19.04296875,-52.24609375
1,1,14.16015625,-5.859375,-17.08984375,-8.7890625
1,1,52.734375,-19.53125,-31.73828125,17.578125
1,1,17.578125,-13.671875,-33.69140625,1.46484375
1,1,-34.1796875,-11.23046875,-29.296875,-29.78515625
1,1,-30.76171875,-18.5546875,-29.296875,-28.80859375
1,1,11.23046875,-15.13671875,-38.0859375,4.39453125
1,1,42.96875,-8.30078125,-43.45703125,21.484375
1,1,28.80859375,-0.48828125,-40.52734375,-4.39453125
1,1,-31.73828125,0.9765625,-45.41015625,-45.41015625
1,1,-57.6171875,-3.41796875,-38.57421875,-50.29296875
1,1,-5.859375,-2.9296875,-31.73828125,-12.20703125
1,1,38.0859375,-10.7421875,-38.57421875,13.18359375
1,1,3.90625,-17.08984375,-48.33984375,-0.48828125
1,1,-52.734375,-20.5078125,-53.7109375,-38.57421875
1,1,-55.6640625,-28.80859375,-45.8984375,-51.7578125
1,1,-20.5078125,-24.4140625,-37.59765625,-25.87890625
1,1,35.15625,-16.6015625,-29.78515625,5.859375
1,1,25.390625,-12.6953125,-35.15625,1.953125
1,1,-46.38671875,-10.25390625,-38.57421875,-41.9921875
1,1,-61.03515625,-12.6953125,-35.64453125,-57.6171875
1,1,-14.6484375,-19.53125,-47.8515625,-25.390625
1,1,39.55078125,-11.23046875,-47.8515625,14.6484375
1,1,28.3203125,-10.25390625,-42.96875,16.11328125
1,1,-24.90234375,-31.25,-41.015625,-23.92578125
1,1,-68.359375,-32.71484375,-34.1796875,-43.9453125
1,1,-50.78125,-20.5078125,-31.73828125,-23.92578125
1,1,0.0,-19.53125,-38.57421875,3.90625
1,1,11.23046875,-21.97265625,-40.0390625,4.8828125
1,1,-37.59765625,-19.04296875,-46.875,-21.97265625
1,1,-85.9375,-20.5078125,-41.9921875,-53.7109375
1,1,-54.19921875,-23.4375,-34.1796875,-45.8984375
1,1,22.94921875,-20.99609375,-36.62109375,-5.859375
1,1,49.31640625,-29.78515625,-39.0625,19.53125
1,1,0.0,-26.85546875,-40.52734375,-2.44140625
1,1,-58.10546875,-14.16015625,-39.55078125,-37.59765625
1,1,-43.45703125,-5.859375,-36.62109375,-23.4375
1,1,13.671875,-5.859375,-41.015625,12.20703125
1,1,31.25,-19.04296875,-43.45703125,13.18359375
1,1,-3.90625,-22.94921875,-36.62109375,-19.04296875
1,1,-50.29296875,-16.11328125,-24.90234375,-40.52734375
1,1,-51.7578125,-18.06640625,-27.34375,-31.73828125
1,1,-3.41796875,-22.94921875,-47.36328125,-9.765625
1,1,38.57421875,-17.578125,-41.9921875,9.765625
1,1,6.8359375,-17.578125,-25.87890625,-4.8828125
1,1,-61.5234375,-18.5546875,-16.6015625,-34.1796875
1,1,-69.82421875,-6.34765625,-14.16015625,-42.48046875
1,1,-18.5546875,-5.859375,-27.34375,-16.6015625
1,1,18.5546875,-10.25390625,-22.94921875,8.30078125
1,1,-6.34765625,-11.71875,-21.484375,-10.7421875
1,1,-84.47265625,-25.390625,-32.71484375,-43.45703125
1,1,-95.703125,-48.33984375,-27.83203125,-33.69140625
1,1,-17.08984375,-43.9453125,-24.90234375,2.9296875
