WORD,TERM,A,B,C,D
1,1,-21.484375,-15.13671875,-19.53125,-2.44140625
1,1,45.8984375,-18.06640625,-6.34765625,20.5078125
1,1,34.66796875,-30.2734375,-18.5546875,10.25390625
1,1,-32.2265625,-38.0859375,-31.73828125,-26.3671875
1,1,-77.1484375,-33.203125,-27.34375,-49.31640625
1,1,-45.41015625,-38.0859375,-35.15625,-28.80859375
1,1,25.87890625,-31.73828125,-40.52734375,8.7890625
1,1,36.1328125,-26.3671875,-42.96875,3.41796875
1,1,-23.4375,-19.04296875,-44.43359375,-28.80859375
1,1,-64.453125,-9.27734375,-39.55078125,-46.875
1,1,-35.15625,-20.01953125,-34.66796875,-32.2265625
1,1,29.296875,-33.203125,-26.85546875,5.859375
1,1,45.41015625,-38.0859375,-26.3671875,11.71875
1,1,-8.7890625,-21.484375,-21.484375,-12.6953125
1,1,-63.4765625,-11.23046875,-15.625,-40.0390625
1,1,-51.26953125,-20.5078125,-36.1328125,-42.48046875
1,1,17.08984375,-28.3203125,-37.109375,-7.8125
1,1,48.828125,-29.296875,-16.6015625,8.30078125
1,1,-5.37109375,-20.5078125,-19.53125,-23.92578125
1,1,-70.3125,-15.625,-21.484375,-54.19921875
1,1,-71.2890625,-30.76171875,-33.203125,-47.8515625
1,1,-9.27734375,-22.94921875,-54.19921875,-15.13671875
1,1,32.2265625,-8.7890625,-33.203125,6.8359375
1,1,-9.27734375,-19.04296875,-15.13671875,-16.11328125
1,1,-72.75390625,-22.94921875,-17.578125,-53.7109375
1,1,-82.03125,-28.3203125,-26.85546875,-50.78125
1,1,-18.06640625,-35.64453125,-37.109375,-12.6953125
1,1,35.15625,-41.50390625,-25.87890625,4.8828125
1,1,-7.8125,-35.15625,-28.80859375,-25.87890625
1,1,-78.125,-31.73828125,-37.59765625,-54.6875
1,1,-89.84375,-32.71484375,-39.55078125,-43.9453125
1,1,-31.73828125,-32.71484375,-35.64453125,-17.578125
1,1,21.97265625,-29.296875,-30.2734375,13.18359375
1,1,13.18359375,-18.5546875,-28.80859375,11.71875
1,1,-44.43359375,-12.6953125,-30.2734375,-27.83203125
1,1,-62.5,-10.7421875,-36.1328125,-34.66796875
1,1,-3.41796875,-18.06640625,-44.921875,-4.39453125
1,1,54.6875,-38.0859375,-48.33984375,23.92578125
1,1,31.25,-34.66796875,-47.36328125,12.6953125
1,1,-42.96875,-1.953125,-36.62109375,-28.3203125
1,1,-72.265625,-1.953125,-23.4375,-46.38671875
1,1,-35.15625,-27.34375,-36.62109375,-29.78515625
1,1,26.85546875,-31.25,-39.55078125,5.37109375
1,1,27.34375,-14.16015625,-21.484375,5.859375
1,1,-41.50390625,-21.97265625,-28.80859375,-46.38671875
1,1,-81.54296875,-31.73828125,-35.64453125,-66.40625
1,1,-41.9921875,-25.390625,-40.0390625,-37.109375
1,1,25.87890625,-15.625,-39.0625,4.39453125
1,1,30.76171875,-18.06640625,-31.25,17.08984375
1,1,-43.9453125,-33.203125,-41.9921875,-24.4140625
1,1,-99.609375,-35.64453125,-38.0859375,-52.734375
1,1,-61.5234375,-21.484375,-12.20703125,-27.83203125
1,1,4.39453125,-12.6953125,-19.04296875,8.7890625
1,1,22.4609375,-28.3203125,-35.64453125,14.6484375
1,1,-27.34375,-40.0390625,-20.5078125,-19.04296875
1,1,-82.51953125,-25.87890625,-24.90234375,-51.26953125
1,1,-60.546875,-44.43359375,-37.59765625,-27.34375
1,1,8.30078125,-50.78125,-27.83203125,18.5546875
1,1,38.0859375,-14.6484375,-16.6015625,18.06640625
1,1,-12.6953125,-20.01953125,-1.953125,-18.06640625
1,1,-78.125,-35.64453125,-29.296875,-57.12890625
1,1,-81.54296875,-35.64453125,-62.98828125,-54.6875
1,1,-14.16015625,-30.2734375,-53.7109375,-13.18359375
1,1,34.1796875,-16.11328125,-26.3671875,3.90625
1,1,-16.11328125,-22.4609375,-21.97265625,-26.85546875
1,1,-84.9609375,-32.2265625,-25.390625,-63.96484375
1,1,-73.73046875,-40.0390625,-28.3203125,-58.10546875
1,1,-8.30078125,-41.50390625,-35.64453125,-25.390625
1,1,32.71484375,-35.15625,-40.52734375,-4.8828125
1,1,-6.34765625,-41.50390625,-37.109375,-22.4609375
1,1,-68.84765625,-32.71484375,-36.62109375,-48.33984375
1,1,-78.125,-18.5546875,-33.203125,-43.9453125
1,1,-20.01953125,-21.97265625,-26.85546875,-8.30078125
1,1,39.0625,-17.578125,-28.80859375,16.6015625
1,1,13.18359375,-12.20703125,-29.296875,0.48828125
1,1,-62.01171875,-15.625,-27.83203125,-42.48046875
1,1,-88.37890625,-24.90234375,-48.828125,-54.19921875
1,1,-33.203125,-37.109375,-45.41015625,-22.4609375
1,1,27.34375,-38.57421875,-35.64453125,0.0
1,1,13.18359375,-34.1796875,-45.41015625,-1.46484375
1,1,-58.10546875,-23.4375,-44.43359375,-36.62109375
1,1,-92.7734375,-19.53125,-40.0390625,-60.546875
1,1,-40.0390625,-36.62109375,-30.2734375,-36.1328125
1,1,24.90234375,-26.85546875,-17.08984375,-0.9765625
1,1,28.3203125,-9.765625,-29.78515625,5.859375
1,1,-31.73828125,-11.23046875,-26.3671875,-26.3671875
1,1,-88.37890625,-18.5546875,-22.4609375,-58.59375
1,1,-53.22265625,-15.13671875,-30.76171875,-41.50390625
1,1,24.4140625,-11.71875,-22.94921875,4.8828125
1,1,33.69140625,-19.04296875,-20.99609375,10.25390625
1,1,-23.4375,-26.3671875,-17.08984375,-28.3203125
1,1,-69.3359375,-28.80859375,-12.6953125,-52.24609375
1,1,-40.0390625,-21.484375,-27.83203125,-31.73828125
1,1,34.1796875,-20.5078125,-28.3203125,7.8125
1,1,51.7578125,-27.83203125,-7.32421875,14.6484375
1,1,-13.18359375,-16.6015625,-12.20703125,-21.97265625
1,1,-75.68359375,-25.390625,-26.85546875,-50.29296875
1,1,-50.78125,-40.52734375,-37.59765625,-34.66796875
1,1,20.01953125,-20.01953125,-46.38671875,0.0
1,1,37.109375,-13.18359375,-47.8515625,0.9765625
1,1,-18.06640625,-29.296875,-41.015625,-25.87890625
1,1,-78.61328125,-38.0859375,-37.109375,-53.7109375
1,1,-62.01171875,-30.76171875,-29.296875,-44.43359375
1,1,7.32421875,-16.6015625,-22.94921875,-7.32421875
1,1,41.50390625,-12.20703125,-19.04296875,2.44140625
1,1,2.44140625,-13.18359375,-12.6953125,-14.16015625
1,1,-70.80078125,-13.18359375,-21.484375,-39.55078125
1,1,-80.56640625,-19.04296875,-22.4609375,-43.45703125
1,1,-11.23046875,-12.6953125,-26.85546875,-7.8125
1,1,41.9921875,-10.25390625,-46.38671875,24.90234375
1,1,8.30078125,-18.06640625,-51.26953125,0.48828125
1,1,-60.546875,-20.99609375,-48.33984375,-41.015625
1,1,-73.2421875,-31.73828125,-36.1328125,-44.921875
1,1,-6.8359375,-35.64453125,-28.80859375,-11.23046875
1,1,58.10546875,-24.4140625,-15.625,22.94921875
1,1,26.3671875,-5.859375,-1.953125,4.8828125
1,1,-55.17578125,-23.92578125,-21.484375,-41.50390625
1,1,-84.9609375,-38.57421875,-43.9453125,-47.8515625
1,1,-26.3671875,-20.01953125,-44.921875,-18.06640625
1,1,36.1328125,-19.04296875,-44.43359375,2.9296875
1,1,18.5546875,-22.4609375,-42.96875,-4.39453125
1,1,-52.734375,-14.6484375,-29.78515625,-39.55078125
1,1,-86.42578125,-20.5078125,-40.52734375,-56.15234375
1,1,-31.73828125,-26.85546875,-44.43359375,-13.18359375
1,1,33.69140625,-35.15625,-34.1796875,20.01953125
1,1,27.34375,-39.55078125,-39.55078125,16.11328125
1,1,-45.41015625,-38.0859375,-26.85546875,-18.06640625
1,1,-83.49609375,-36.1328125,-26.3671875,-50.29296875
1,1,-37.59765625,-23.4375,-52.24609375,-34.1796875
1,1,23.4375,-33.69140625,-47.36328125,1.953125
1,1,18.5546875,-33.203125,-16.6015625,-0.9765625
1,1,-46.875,-29.296875,-12.6953125,-36.62109375
1,1,-89.84375,-42.96875,-22.4609375,-61.03515625
1,1,-54.6875,-24.4140625,-11.71875,-37.59765625
1,1,21.97265625,-18.5546875,-4.39453125,13.18359375
1,1,36.1328125,-34.1796875,-15.625,20.5078125
1,1,-31.25,-44.921875,-28.3203125,-13.671875
1,1,-79.58984375,-40.52734375,-23.92578125,-40.0390625
1,1,-52.24609375,-49.31640625,-31.73828125,-26.3671875
1,1,20.5078125,-45.41015625,-31.25,8.30078125
1,1,46.38671875,-19.04296875,-13.18359375,12.6953125
1,1,-6.8359375,-19.04296875,-18.5546875,-19.53125
1,1,-69.3359375,-31.25,-42.48046875,-51.7578125
1,1,-58.59375,-34.66796875,-37.59765625,-44.43359375
1,1,16.6015625,-35.64453125,-16.11328125,-5.37109375
1,1,49.8046875,-40.52734375,-26.3671875,11.23046875
1,1,6.8359375,-31.25,-35.15625,-19.04296875
1,1,-60.05859375,-18.06640625,-37.59765625,-64.94140625
1,1,-68.84765625,-21.484375,-36.62109375,-56.640625
1,1,-8.30078125,-23.4375,-25.390625,-18.5546875
1,1,31.25,-26.85546875,-38.0859375,-8.7890625
1,1,-7.8125,-28.80859375,-50.78125,-20.5078125
