timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1586284762.48675,1,1,-21.484375,-15.13671875,-19.53125,-2.44140625,0.0,0
1586284762.4906561,1,1,45.8984375,-18.06640625,-6.34765625,20.5078125,0.0,0
1586284762.4945624,1,1,34.66796875,-30.2734375,-18.5546875,10.25390625,0.0,0
1586284762.4984686,1,1,-32.2265625,-38.0859375,-31.73828125,-26.3671875,0.0,0
1586284762.502375,1,1,-77.1484375,-33.203125,-27.34375,-49.31640625,0.0,0
1586284762.5062811,1,1,-45.41015625,-38.0859375,-35.15625,-28.80859375,0.0,0
1586284762.5101874,1,1,25.87890625,-31.73828125,-40.52734375,8.7890625,0.0,0
1586284762.5140936,1,1,36.1328125,-26.3671875,-42.96875,3.41796875,0.0,0
1586284762.518,1,1,-23.4375,-19.04296875,-44.43359375,-28.80859375,0.0,0
1586284762.5219061,1,1,-64.453125,-9.27734375,-39.55078125,-46.875,0.0,0
1586284762.5258124,1,1,-35.15625,-20.01953125,-34.66796875,-32.2265625,0.0,0
1586284762.5297186,1,1,29.296875,-33.203125,-26.85546875,5.859375,0.0,0
1586284762.533625,1,1,45.41015625,-38.0859375,-26.3671875,11.71875,0.0,0
1586284762.5375311,1,1,-8.7890625,-21.484375,-21.484375,-12.6953125,0.0,0
1586284762.5414374,1,1,-63.4765625,-11.23046875,-15.625,-40.0390625,0.0,0
1586284762.5453436,1,1,-51.26953125,-20.5078125,-36.1328125,-42.48046875,0.0,0
1586284762.54925,1,1,17.08984375,-28.3203125,-37.109375,-7.8125,0.0,0
1586284762.5531561,1,1,48.828125,-29.296875,-16.6015625,8.30078125,0.0,0
1586284762.5570624,1,1,-5.37109375,-20.5078125,-19.53125,-23.92578125,0.0,0
1586284762.5609686,1,1,-70.3125,-15.625,-21.484375,-54.19921875,0.0,0
1586284762.564875,1,1,-71.2890625,-30.76171875,-33.203125,-47.8515625,0.0,0
1586284762.5687811,1,1,-9.27734375,-22.94921875,-54.19921875,-15.13671875,0.0,0
1586284762.5726874,1,1,32.2265625,-8.7890625,-33.203125,6.8359375,0.0,0
1586284762.5765936,1,1,-9.27734375,-19.04296875,-15.13671875,-16.11328125,0.0,0
1586284762.5805,1,1,-72.75390625,-22.94921875,-17.578125,-53.7109375,0.0,0
1586284762.5844061,1,1,-82.03125,-28.3203125,-26.85546875,-50.78125,0.0,0
1586284762.5883124,1,1,-18.06640625,-35.64453125,-37.109375,-12.6953125,0.0,0
1586284762.5922186,1,1,35.15625,-41.50390625,-25.87890625,4.8828125,0.0,0
1586284762.596125,1,1,-7.8125,-35.15625,-28.80859375,-25.87890625,0.0,0
1586284762.6000311,1,1,-78.125,-31.73828125,-37.59765625,-54.6875,0.0,0
1586284762.6039374,1,1,-89.84375,-32.71484375,-39.55078125,-43.9453125,0.0,0
1586284762.6078436,1,1,-31.73828125,-32.71484375,-35.64453125,-17.578125,0.0,0
1586284762.61175,1,1,21.97265625,-29.296875,-30.2734375,13.18359375,0.0,0
1586284762.6156561,1,1,13.18359375,-18.5546875,-28.80859375,11.71875,0.0,0
1586284762.6195624,1,1,-44.43359375,-12.6953125,-30.2734375,-27.83203125,0.0,0
1586284762.6234686,1,1,-62.5,-10.7421875,-36.1328125,-34.66796875,0.0,0
1586284762.627375,1,1,-3.41796875,-18.06640625,-44.921875,-4.39453125,0.0,0
1586284762.6312811,1,1,54.6875,-38.0859375,-48.33984375,23.92578125,0.0,0
1586284762.6351874,1,1,31.25,-34.66796875,-47.36328125,12.6953125,0.0,0
1586284762.6390936,1,1,-42.96875,-1.953125,-36.62109375,-28.3203125,0.0,0
1586284762.643,1,1,-72.265625,-1.953125,-23.4375,-46.38671875,0.0,0
1586284762.6469061,1,1,-35.15625,-27.34375,-36.62109375,-29.78515625,0.0,0
1586284762.6508124,1,1,26.85546875,-31.25,-39.55078125,5.37109375,0.0,0
1586284762.6547186,1,1,27.34375,-14.16015625,-21.484375,5.859375,0.0,0
1586284762.658625,1,1,-41.50390625,-21.97265625,-28.80859375,-46.38671875,0.0,0
1586284762.6625311,1,1,-81.54296875,-31.73828125,-35.64453125,-66.40625,0.0,0
1586284762.6664374,1,1,-41.9921875,-25.390625,-40.0390625,-37.109375,0.0,0
1586284762.6703436,1,1,25.87890625,-15.625,-39.0625,4.39453125,0.0,0
1586284762.67425,1,1,30.76171875,-18.06640625,-31.25,17.08984375,0.0,0
1586284762.6781561,1,1,-43.9453125,-33.203125,-41.9921875,-24.4140625,0.0,0
1586284762.6820624,1,1,-99.609375,-35.64453125,-38.0859375,-52.734375,0.0,0
1586284762.6859686,1,1,-61.5234375,-21.484375,-12.20703125,-27.83203125,0.0,0
1586284762.689875,1,1,4.39453125,-12.6953125,-19.04296875,8.7890625,0.0,0
1586284762.6937811,1,1,22.4609375,-28.3203125,-35.64453125,14.6484375,0.0,0
1586284762.6976874,1,1,-27.34375,-40.0390625,-20.5078125,-19.04296875,0.0,0
1586284762.7015936,1,1,-82.51953125,-25.87890625,-24.90234375,-51.26953125,0.0,0
1586284762.7055,1,1,-60.546875,-44.43359375,-37.59765625,-27.34375,0.0,0
1586284762.7094061,1,1,8.30078125,-50.78125,-27.83203125,18.5546875,0.0,0
1586284762.7133124,1,1,38.0859375,-14.6484375,-16.6015625,18.06640625,0.0,0
1586284762.7172186,1,1,-12.6953125,-20.01953125,-1.953125,-18.06640625,0.0,0
1586284762.721125,1,1,-78.125,-35.64453125,-29.296875,-57.12890625,0.0,0
1586284762.7250311,1,1,-81.54296875,-35.64453125,-62.98828125,-54.6875,0.0,0
1586284762.7289374,1,1,-14.16015625,-30.2734375,-53.7109375,-13.18359375,0.0,0
1586284762.7328436,1,1,34.1796875,-16.11328125,-26.3671875,3.90625,0.0,0
1586284762.73675,1,1,-16.11328125,-22.4609375,-21.97265625,-26.85546875,0.0,0
1586284762.7406561,1,1,-84.9609375,-32.2265625,-25.390625,-63.96484375,0.0,0
1586284762.7445624,1,1,-73.73046875,-40.0390625,-28.3203125,-58.10546875,0.0,0
1586284762.7484686,1,1,-8.30078125,-41.50390625,-35.64453125,-25.390625,0.0,0
1586284762.752375,1,1,32.71484375,-35.15625,-40.52734375,-4.8828125,0.0,0
1586284762.7562811,1,1,-6.34765625,-41.50390625,-37.109375,-22.4609375,0.0,0
1586284762.7601874,1,1,-68.84765625,-32.71484375,-36.62109375,-48.33984375,0.0,0
1586284762.7640936,1,1,-78.125,-18.5546875,-33.203125,-43.9453125,0.0,0
1586284762.768,1,1,-20.01953125,-21.97265625,-26.85546875,-8.30078125,0.0,0
1586284762.7719061,1,1,39.0625,-17.578125,-28.80859375,16.6015625,0.0,0
1586284762.7758124,1,1,13.18359375,-12.20703125,-29.296875,0.48828125,0.0,0
